,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,land_surface,livable_surface,energy_consumption,number_of_bedrooms,number_of_bathrooms,elevator,garden,terrace,furnished,availability,province,street,street_number,garage,balcony
vbe36079,4.3766927,50.8235717,Rent,900,Appartment,FlatStudio,27212,1050,1972.0,,,42.0,,,1.0,True,,,True,From 01/07/2026,Brussels,,,,
vbe36088,4.3766927,50.8235717,Rent,1090,Appartment,GroundFloor,27212,1050,,,,58.0,,1.0,1.0,False,,10.0,False,Immediately,Brussels,,,,
vbe36081,4.3766927,50.8235717,Rent,1070,House,House,27212,1050,,,,78.0,,2.0,1.0,False,,,False,Immediately,Brussels,,,,
vbe36086,4.388949,50.832177,Rent,850,Appartment,FlatStudio,27212,1040,,,,22.0,,1.0,1.0,False,,,True,Immediately,Brussels,,,,
vbe36089,4.388949,50.832177,Rent,960,Appartment,Flat,27212,1040,,,,35.0,,1.0,1.0,True,,,True,,Brussels,,,,
vbe36090,4.388949,50.832177,Rent,500,Appartment,Flat,27212,1040,,,,13.0,,1.0,,False,,,True,Immediately,Brussels,,,,
vbe36084,4.397239,50.8324969,Rent,995,Appartment,Flat,27212,1040,,,,65.0,,1.0,1.0,True,,4.0,False,From 01/08/2026,Brussels,Place du Roi Vainqueur,28.0,,
vbe36123,4.35531,50.8412,Rent,2800,Appartment,Loft,43065,1000,,Normal,,248.0,,3.0,1.0,,,,,Immediately,Brussels,RUE SAINTE-ANNE,40.0,,
vbe36076,4.388949,50.832177,Rent,960,Appartment,FlatStudio,27212,1040,,,,35.0,,1.0,1.0,True,,,True,,Brussels,,,,
vbe36091,4.388949,50.832177,Rent,850,Appartment,Flat,27212,1040,,,,22.0,,1.0,1.0,False,,,True,Immediately,Brussels,,,,
vbe36119,4.4247989,50.8012683,Rent,1100,Appartment,FlatStudio,40959,1170,2025.0,New,,48.0,,,1.0,True,19.0,,True,,Brussels,BOULEVARD DU SOUVERAIN,17.0,1.0,
vbe36085,4.3766927,50.8235717,Rent,1090,Appartment,Flat,27212,1050,,,,58.0,,1.0,1.0,False,,10.0,False,Immediately,Brussels,,,,
vbe36080,4.388949,50.832177,Rent,1150,Appartment,Flat,27212,1040,,,,43.0,,1.0,,False,,15.0,True,Immediately,Brussels,,,,
vbe36087,4.388949,50.832177,Rent,1030,Appartment,Flat,27212,1040,,,,80.0,,1.0,,False,,,False,From 16/07/2026,Brussels,,,,
vbe36075,4.3766927,50.8235717,Rent,625,Appartment,FlatStudio,27212,1050,,Normal,,20.0,,,,False,,,False,Immediately,Brussels,,,,
vbe36083,4.3766927,50.8235717,Rent,800,Appartment,FlatStudio,27212,1050,,,,25.0,,1.0,,False,,,False,Immediately,Brussels,,,,
vbe36077,4.388949,50.832177,Rent,1100,Appartment,Flat,27212,1040,,,,37.0,,1.0,1.0,False,,,True,Immediately,Brussels,,,,
vbe36078,4.37727,50.86744,Rent,950,Appartment,Flat,27212,1030,,,,60.0,,1.0,1.0,False,,,False,From 01/07/2026,Brussels,,,,
vbe36126,4.40719,50.83205,Rent,4200,Appartment,Flat,43065,1040,1932.0,Excellent,,220.0,,3.0,3.0,True,,,,Immediately,Brussels,AVENUE NESTOR PLISSART,6.0,,
vbe36074,4.423892,50.842365,Rent,900,Appartment,FlatStudio,27212,1200,2026.0,New,,38.0,,,,True,,,False,Immediately,Brussels,,,,
vbe36073,4.3750976,50.8428636,Rent,1050,Appartment,FlatStudio,27212,1040,,,,35.0,,1.0,,True,,,False,Immediately,Brussels,Rue de Trèves,104.0,,
vbe36022,4.3333333,50.8,Rent,1690,Appartment,Flat,40044,1180,1960.0,,,90.0,,2.0,1.0,False,,,True,From 01/08/2026,Brussels,,,,
