longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,province,street,house_number,date_of_construction,availability,energy_consumption,balcony,land_surface,garden,number_of_garage,swimming_pool
3.9694901,50.5117084,Sale,800000,House,Villa,44163,7050,Excellent,397,6,1,,51,,Hainaut,Rue de Brocqueroy,70,,,89683,,2900,,1,True
4.3267293,50.4088642,Sale,140000,House,House,40699,6140,,85,2,,False,,False,Hainaut,Rue du Parc,19,,,27644,,69,,,False
4.449213,50.4157265,Sale,99000,Appartment,Flat,42549,6000,Normal,53,1,1,,,,Hainaut,,,,On contract,,,,,,
4.5437827,50.4089317,Sale,1300000,House,MixedBuilding,46564,6250,,,9,,,,,Hainaut,Rue Auguste Scohy,82,,,27169,,4000,,,
4.1666667,50.1666667,Sale,135000,Appartment,Flat,42550,6470,,90,2,1,True,,False,Hainaut,,,,,30477,,,,,
4.4589418,50.3914084,Sale,155000,House,House,39975,6010,To renovate,121,3,1,,20,,Hainaut,,,,,67779,,,,,
4.27524221,50.37166135,Sale,169000,House,House,27592,6540,To be renovated,139,3,,False,,False,Hainaut,Rue d'Anderlues,55,,On contract,,,,,1,
3.7391483,50.7365889,Sale,299500,House,House,33620,7880,Excellent,189,4,1,False,10,False,Hainaut,Place,45,1850,On contract,,,245,280,,
4.27573961,50.35032145,Sale,399000,House,House,28942,6540,Normal,185,4,1,False,,False,Hainaut,Rue du Laid Pas,11,,,,,5000,,1,
4.42206015,50.43547155,Sale,75000,House,House,42294,6040,To be renovated,59,1,,False,,False,Hainaut,Rue Emile Strimelle,63,,On contract,,,,,,
4.1638777,50.4138612,Sale,400000,Appartment,Penthouse,39714,7130,Excellent,119,3,1,True,80,,Hainaut,Route de Mons,60,2022,On contract,12465,,,,,False
4.2095688,50.4792063,Sale,89000,House,House,42386,7100,To be renovated,109,2,,,16,False,Hainaut,Rue de Longtain,207,1899,On contract,28325,False,285,175,,
4.42348186,50.42972835,Sale,155000,House,House,48551,6040,Normal,,2,1,False,,False,Hainaut,Rue du Coucou,34,,On contract,,,,,,
4.4708406,50.4011295,Sale,175000,House,House,46249,6061,To restore,110,2,1,,30,False,Hainaut,Rue Gillot Montignies-sur-Sambre,,,,,,140,,,
4.399211,50.4075342,Sale,65000,House,House,40699,6030,To renovate,94,1,1,False,,False,Hainaut,Rue de Châtelet,39,,On contract,46798,,,,,False
4.47117,50.40728,Sale,275000,House,House,48561,6061,To be renovated,242,5,2,False,,False,Hainaut,Rue Grimard,237,,Immediately,,False,,191,,
4.4490664,50.4083585,Sale,225000,Appartment,Flat,27545,6000,Normal,149,3,1,True,26,,Hainaut,boulevard Emile Devreux,7,1980,On contract,46054,,,,1,
4.25613,50.01525,Sale,279000,House,Villa,44706,6596,Normal,187,4,1,False,,False,Hainaut,,,2008,On contract,,,1262,,2,
4.16958149,50.0268021,Sale,55000,House,House,33575,6590,To be renovated,74,3,,False,,False,Hainaut,Les Arsillières,35,,On contract,,,350,,,
4.5419184,50.4123506,Sale,269000,House,House,27461,6250,Normal,130,4,3,,17,True,Hainaut,Rue du Campinaire,119,,,26351,,157,111,,
4.3344867,50.4101922,Sale,279000,House,House,40796,6140,Excellent,143,4,2,False,27,False,Hainaut,Rue des Gaulx,69,,,12529,,430,300,,False
4.4058085,50.3894633,Sale,180000,House,House,40699,6032,Excellent,140,1,,False,,False,Hainaut,Avenue Paul Pastur,52,,On contract,21343,,140,40,,False
3.841308,50.7140358,Sale,115000,House,House,45868,7860,To be renovated,74,2,,,12,,Hainaut,Chemin du foubertsart,59,,,32457,,67,,2,
4.1789941,50.031015,Sale,390000,House,House,27202,6590,To renovate,,,,,,,Hainaut,,,,,57243,,,,,
4.1834284,50.5106948,Sale,399000,House,Villa,45532,7110,Normal,240,5,2,,,,Hainaut,Rue de l'Yser,162,,On contract,,,1748,1508,2,True
4.2105995,50.0466966,Sale,155000,House,House,45869,6591,Normal,,1,,,,,Hainaut,Rue Joseph Hannecart,11,,,,,1244,,,
4.3891047,50.4447363,Sale,265000,House,House,40288,6044,Excellent,170,3,2,False,,False,Hainaut,Rue Général Leman,61,,On contract,48146,,540,,,False
4.10873,50.50293,Sale,249000,Appartment,Flat,42386,7070,Excellent,94,3,1,True,,False,Hainaut,,,2017,,11087,True,,,,
4.4649806,50.4166228,Sale,349000,House,House,40796,6061,Excellent,150,5,2,False,70,False,Hainaut,Rue du Gazomètre,4,,On contract,80240,,440,200,,False
4.3815368,50.4675679,Sale,597000,House,House,44162,6180,Normal,232,4,1,False,49,,Hainaut,Rue Champ Falnuée,48,2007,On contract,22216,,2530,1416,2,False
4.4182721,50.35041895,Sale,649000,House,House,28942,6120,Normal,185,4,2,False,,False,Hainaut,Rue des Prés Colin,1,,,,,3500,,2,
4.477443,50.4134497,Sale,269000,House,MixedBuilding,40117,6060,Normal,233,5,2,False,,False,Hainaut,Chaussée de Montigny,307,1938,On contract,35112,,430,,2,False
4.0502931,50.6933701,Sale,172500,Appartment,Flat,45273,7850,,65,2,1,,,,Hainaut,Chaussée de Bruxelles,429,,,,,,,,
3.819834,50.4651326,Sale,425000,House,MixedBuilding,44163,7333,Normal,252,5,1,,39,,Hainaut,Rue olivier lhoir,48,,,52182,,,,2,
3.9095092,50.4384467,Sale,205000,House,House,42400,7033,Excellent,151,2,1,False,,False,Hainaut,Rue Commandant Lemaire,149,,,27946,,1385,,1,False
3.67696,50.5627762,Sale,385000,House,House,45868,7972,Normal,253,4,1,,57,,Hainaut,,,,On contract,61809,,1114,899,1,
4.1113839,50.3073558,Sale,269000,House,MixedBuilding,42386,6560,Normal,195,3,3,False,,False,Hainaut,,,,,14732,False,359,,1,
4.3262289,50.4637256,Sale,135000,House,House,42761,6183,To renovate,100,2,1,False,,False,Hainaut,Rue de Chapelle,55,1887,On contract,49066,,290,,,False
